ID,min1,min2,tform,sepform,eccform,k1form,m1form,k2form,m2form,tmerg,k1,m1,k2,m2,sep,ecc,label
6177,23.6295,9.5659,20.5255,0.76031E+01,0.36545E+00,14,3.2453,13,1.7322,11193.4385,14,4.9776,15,5.3104,0.00000E+00,0.00000E+00,COELESCE
6178,21.6830,10.7854,19.4090,0.42892E+01,0.78861E+00,13,2.2604,13,1.7037,146.9875,14,3.9641,15,5.5142,0.00000E+00,0.00000E+00,COELESCE
6403,11.9577,8.6761,31.9211,0.99560E+01,0.96597E+00,13,1.2373,13,1.2355,88.1034,13,2.4728,15,3.9254,0.00000E+00,0.00000E+00,COELESCE
6418,23.9681,14.6437,16.6029,0.15871E+01,0.49335E+00,14,3.1335,13,1.2355,39.0223,14,4.3691,15,3.6058,0.00000E+00,0.00000E+00,COELESCE
6592,15.5272,14.9180,16.4832,0.17379E+02,0.88253E+00,13,1.8267,13,1.4449,9676.5713,14,3.2716,15,4.3569,0.00000E+00,0.00000E+00,COELESCE
6744,16.2667,7.9194,28.8830,0.27397E+01,0.74872E+00,13,1.7552,13,1.2355,111.0349,13,2.9907,15,3.9469,0.00000E+00,0.00000E+00,COELESCE
6830,77.8662,44.4795,6.1263,0.28753E+02,0.10648E-01,14,23.6732,14,23.2854,4234.3677,15,23.9952,14,46.9586,0.00000E+00,0.00000E+00,COELESCE
6995,8.9414,8.0577,43.8900,0.72201E+01,0.78716E+00,13,1.2364,13,1.2708,4040.2935,15,1.8791,13,2.5073,0.00000E+00,0.00000E+00,COELESCE
7192,10.2312,8.2684,38.1028,0.51686E+02,0.99154E+00,13,1.2631,13,1.2355,599.9252,13,2.4986,15,3.7648,0.00000E+00,0.00000E+00,COELESCE
7197,36.0445,16.2736,11.7382,0.14816E+02,0.49681E+00,14,7.6972,14,3.4259,9429.9600,15,11.3976,14,11.1231,0.00000E+00,0.00000E+00,COELESCE
7241,10.4597,8.1900,37.9385,0.25010E+02,0.97436E+00,13,1.2372,13,1.2355,997.7824,13,2.4727,15,3.7652,0.00000E+00,0.00000E+00,COELESCE
7453,13.1130,12.5777,20.9447,0.32582E+01,0.67040E+00,13,1.4970,13,1.2355,471.5229,13,2.7325,15,3.4350,0.00000E+00,0.00000E+00,COELESCE
7476,22.5471,12.0902,22.0936,0.12262E+01,0.35093E+00,13,2.8692,13,1.2355,37.6670,14,4.1048,15,2.8713,0.00000E+00,0.00000E+00,COELESCE
7532,8.7916,8.4959,42.4922,0.10152E+02,0.82593E+00,13,1.2365,13,1.3164,7940.0146,15,1.8371,13,2.5529,0.00000E+00,0.00000E+00,COELESCE
7564,51.6392,31.5398,7.5001,0.19945E+02,0.16210E-01,14,15.4262,14,15.4197,3465.8530,15,15.8793,14,30.8460,0.00000E+00,0.00000E+00,COELESCE
7625,26.7938,24.9932,10.0091,0.19995E+02,0.64211E+00,14,4.6917,14,5.8742,13225.6357,14,10.5659,15,10.2078,0.00000E+00,0.00000E+00,COELESCE
7653,37.0444,31.9296,6.9636,0.12250E+02,0.21274E+00,14,8.0468,14,5.1832,5509.2256,15,11.6110,14,13.2300,0.00000E+00,0.00000E+00,COELESCE
7760,23.0161,8.2191,21.7012,0.13872E+02,0.95764E+00,13,2.2747,13,1.4121,161.3861,14,3.6867,15,4.6107,0.00000E+00,0.00000E+00,COELESCE
7777,10.1160,7.7517,40.3764,0.10410E+01,0.59814E+00,13,1.2369,13,1.2355,50.9275,13,2.4724,15,2.6798,0.00000E+00,0.00000E+00,COELESCE
7918,9.0186,8.4645,41.7235,0.21255E+02,0.94136E+00,13,1.2619,13,1.2814,5245.1685,15,1.4041,13,2.5434,0.00000E+00,0.00000E+00,COELESCE
7937,9.8895,8.2249,39.4232,0.24250E+03,0.99769E+00,13,1.2627,13,1.2355,2469.0432,13,2.4982,15,3.7819,0.00000E+00,0.00000E+00,COELESCE
7944,14.4442,7.4658,31.9486,0.64968E+01,0.93162E+00,13,1.4191,13,1.2355,104.2413,13,2.6546,15,3.6445,0.00000E+00,0.00000E+00,COELESCE
7962,11.6434,11.4531,24.5519,0.63605E+01,0.63695E+00,13,1.3054,13,1.2355,10116.7920,13,2.5409,15,3.5429,0.00000E+00,0.00000E+00,COELESCE
